Date,Party Monitoring,Setting Up Event,Cleaning Up Event,Special Event Attendance
01/03/19,3,13,22,3
02/03/19,18,20,1,6
03/03/19,2,3,25,17
04/03/19,3,12,14,25
05/03/19,13,19,1,22
06/03/19,18,16,15,20
07/03/19,21,13,25,25
08/03/19,22,11,8,13
09/03/19,25,5,7,25
10/03/19,17,8,3,24
11/03/19,4,22,13,4
12/03/19,2,6,12,12
13/03/19,17,16,20,17
14/03/19,8,8,18,17
15/03/19,8,5,22,20
16/03/19,5,19,5,5
17/03/19,21,11,25,13
18/03/19,14,20,4,4
19/03/19,1,13,22,4
20/03/19,23,21,4,19
21/03/19,25,8,10,13
22/03/19,20,21,16,1
23/03/19,24,10,8,24
24/03/19,9,12,0,15
25/03/19,21,10,3,19
26/03/19,22,25,0,0
27/03/19,6,20,24,14
28/03/19,10,16,11,24
29/03/19,19,24,12,22
30/03/19,19,14,25,20
31/03/19,10,18,3,9
